eventnumber,index,sequencenumber,yokedsequencenumber,istarget,presentationnumber,stimnumber,stim,response,correct,rt,stimname,time_stimon,time_stimoff,stimdur
61,1118,0,5,0,61,28,stimuli_orig\Headphone1.jpg,0,0,0,Headphone1.jpg,73.21700635108482,73.31698740750335,0.09998105641852817
62,1119,0,5,0,62,24,stimuli_orig\Giraffe3_body.jpg,0,0,0,Giraffe3_body.jpg,73.41698811128981,73.51701110164231,0.10002299035249962
63,1120,0,5,0,63,29,stimuli_orig\Helmet1.jpg,0,0,0,Helmet1.jpg,73.6169827742433,73.7169781996322,0.09999542538889727
64,1121,0,5,0,64,36,stimuli_orig\Monkey3_face.jpg,0,0,0,Monkey3_face.jpg,73.81697861017437,73.91699280319835,0.10001419302398062
65,1122,0,5,0,65,39,stimuli_orig\Onion2.jpg,0,0,0,Onion2.jpg,74.01697444610545,74.11696869851721,0.09999425241176141
66,1123,0,5,0,66,30,stimuli_orig\Horse3_body.jpg,0,0,0,Horse3_body.jpg,74.2169911023816,74.31696863986826,0.09997753748666582
67,1124,0,5,0,67,7,stimuli_orig\Camel3_body.jpg,0,0,0,Camel3_body.jpg,74.4169734490747,74.51699526645052,0.1000218173758185
68,1125,0,5,0,68,27,stimuli_orig\Goat4_face.jpg,0,0,0,Goat4_face.jpg,74.61696019443252,74.7169864104726,0.100026216040078
69,1126,0,5,0,69,12,stimuli_orig\Cow4_body.jpg,0,0,0,Cow4_body.jpg,74.81695397765361,74.91697051663186,0.10001653897825236
70,1127,0,5,0,70,51,stimuli_orig\Wolf3_body.jpg,0,0,0,Wolf3_body.jpg,75.01696946095217,75.11694699843929,0.09997753748712057
71,1128,0,5,0,71,23,stimuli_orig\Fox2_face.jpg,0,0,0,Fox2_face.jpg,75.2169459427596,75.31694928574461,0.10000334298501912
72,1129,0,5,0,72,2,stimuli_orig\Apple1.jpg,0,0,0,Apple1.jpg,75.4169411922021,75.51693749732385,0.09999630512174917
73,1130,0,5,0,73,47,stimuli_orig\Spinich1.jpg,0,0,0,Spinich1.jpg,75.61694259977503,75.71695122115716,0.10000862138213051
74,1131,0,5,0,74,5,stimuli_orig\Bottle2.jpg,0,0,0,Bottle2.jpg,75.81695251143219,75.91692946243029,0.09997695099809789
